steps,wild_mean,mutant_mean,total_count
829,121.537,52.649,174.186
830,121.962,52.843,174.805
831,121.684,52.671,174.355
832,120.671,52.62,173.291
833,120.734,52.569,173.303
834,120.18,52.602,172.782
835,120.788,52.769,173.557
836,121.034,52.469,173.503
837,120.97,52.297,173.267
838,121.06,52.753,173.813
839,120.576,52.933,173.509
840,120.948,52.9,173.848
841,121.075,52.948,174.023
842,121.155,53.022,174.177
843,120.964,53.147,174.111
844,120.614,53.03,173.644
845,121.027,53.023,174.05
846,120.966,52.619,173.585
847,121.269,52.438,173.707
848,121.214,52.36,173.574
849,121.513,52.601,174.114
850,121.169,52.41,173.579
851,120.543,52.492,173.035
852,120.375,52.307,172.682
853,120.707,52.701,173.408
854,120.698,52.68,173.378
855,120.862,52.565,173.427
856,120.999,52.635,173.634
857,121.104,52.508,173.612
858,121.394,52.81,174.204
859,120.995,52.44,173.435
860,120.917,52.573,173.49
861,120.7,52.782,173.482
862,121.023,52.976,173.999
863,120.68,53.177,173.857
864,120.463,53.339,173.802
865,120.706,53.557,174.263
866,120.507,53.64,174.147
867,120.218,53.47,173.688
868,120.177,53.501,173.678
869,120.454,53.875,174.329
870,120.855,53.542,174.397
871,120.875,53.712,174.587
872,120.967,53.638,174.605
873,120.597,53.446,174.043
874,120.25,53.57,173.82
875,120.272,53.935,174.207
876,120.609,53.918,174.527
877,120.384,53.742,174.126
878,120.308,53.518,173.826
879,119.885,53.871,173.756
880,120.054,54.134,174.188
881,120.448,54.091,174.539
882,120.117,53.846,173.963
883,119.964,53.765,173.729
884,120.101,53.672,173.773
885,120.103,53.441,173.544
886,120.533,53.5,174.033
887,120.484,53.647,174.131
888,120.515,53.543,174.058
889,120.378,53.839,174.217
890,120.132,53.499,173.631
891,119.829,54.261,174.09
892,120.202,53.614,173.816
893,120.223,53.587,173.81
894,120.212,53.703,173.915
895,120.067,53.663,173.73
896,120.095,54.017,174.112
897,119.888,54.282,174.17
898,119.876,54.023,173.899
899,119.528,53.943,173.471
900,120.029,53.466,173.495
901,119.938,53.977,173.915
902,119.74,53.897,173.637
903,119.022,54.017,173.039
904,119.08,54.129,173.209
905,119.105,54.204,173.309
906,119.036,54.315,173.351
907,119.567,54.339,173.906
908,120.076,54.213,174.289
909,119.513,54.194,173.707
910,119.881,54.495,174.376
911,120.213,54.545,174.758
912,120.369,54.723,175.092
913,120.1,54.258,174.358
914,119.556,54.395,173.951
915,119.942,54.343,174.285
916,119.85,54.356,174.206
917,119.692,54.427,174.119
918,119.571,54.798,174.369
919,120.077,54.918,174.995
920,119.819,54.39,174.209
921,119.627,54.781,174.408
922,119.548,54.482,174.03
923,119.382,54.129,173.511
924,120.286,54.149,174.435
925,119.884,53.959,173.843
926,120.178,53.726,173.904
927,120.472,53.812,174.284
928,120.136,53.55,173.686
929,120.159,53.814,173.973
930,120.053,53.891,173.944
931,120.601,53.892,174.493
932,120.765,53.283,174.048
933,120.592,53.455,174.047
934,120.411,53.333,173.744
935,120.898,53.216,174.114
936,120.635,53.23,173.865
937,120.227,53.55,173.777
938,120.506,53.815,174.321
939,120.21,53.97,174.18
940,120.357,53.891,174.248
941,119.884,53.761,173.645
942,120.084,53.514,173.598
943,120.259,53.566,173.825
944,120.062,53.578,173.64
945,120.304,53.5,173.804
946,120.643,53.248,173.891
947,120.587,53.543,174.13
948,120.16,53.912,174.072
949,120.353,53.977,174.33
950,120.065,53.827,173.892
951,120.267,53.803,174.07
952,119.971,54.089,174.06
953,120.465,54.052,174.517
954,120.219,53.93,174.149
955,120.598,53.822,174.42
956,120.133,53.626,173.759
957,119.517,53.669,173.186
958,119.861,53.835,173.696
959,120.18,53.956,174.136
960,119.968,53.887,173.855
