steps,wild_mean,mutant_mean,total_count
480,140.547,33.373,173.92
481,140.468,33.227,173.695
482,140.286,32.969,173.255
483,140.704,33.039,173.743
484,140.806,33.088,173.894
485,140.768,33.249,174.017
486,141.06,33.374,174.434
487,141.103,33.289,174.392
488,141.509,33.182,174.691
489,140.96,33.405,174.365
490,140.832,33.479,174.311
491,140.738,33.406,174.144
492,140.806,33.309,174.115
493,140.425,33.528,173.953
494,140.262,33.56,173.822
495,140.474,33.748,174.222
496,140.143,33.794,173.937
497,140.215,33.811,174.026
498,140.432,33.935,174.367
499,140.482,34.075,174.557
500,140.496,34.03,174.526
501,140.049,33.925,173.974
502,140.211,34.135,174.346
503,140.335,34.087,174.422
504,139.912,33.855,173.767
505,139.453,33.936,173.389
506,139.707,34.283,173.99
507,139.945,34.12,174.065
508,140.135,33.938,174.073
509,139.95,33.746,173.696
510,140.299,33.967,174.266
511,140.452,34.123,174.575
512,139.688,34.14,173.828
513,140.189,34.06,174.249
514,140.578,34.236,174.814
515,140.332,34.167,174.499
516,139.844,34.225,174.069
517,139.893,33.862,173.755
518,139.904,33.715,173.619
519,140.355,33.481,173.836
520,140.377,33.858,174.235
521,140.886,33.925,174.811
522,140.756,33.843,174.599
523,140.937,34.135,175.072
524,140.475,33.895,174.37
525,140.81,33.785,174.595
526,140.864,33.85,174.714
527,140.64,33.794,174.434
528,140.329,33.645,173.974
529,140.135,34.126,174.261
530,139.943,34.016,173.959
531,140.257,33.997,174.254
532,140.29,34.038,174.328
533,140.263,34.08,174.343
534,139.902,34.229,174.131
535,140.047,34.426,174.473
536,140.266,34.207,174.473
537,139.169,34.156,173.325
538,139.266,34.042,173.308
539,139.072,34.114,173.186
540,138.952,34.0,172.952
541,138.956,33.985,172.941
542,138.591,33.924,172.515
543,138.865,34.041,172.906
544,138.673,34.489,173.162
545,139.247,34.549,173.796
546,139.321,34.293,173.614
547,139.355,34.486,173.841
548,139.148,34.608,173.756
549,138.817,34.574,173.391
550,138.689,34.733,173.422
551,139.326,34.76,174.086
552,139.259,34.974,174.233
553,138.897,34.614,173.511
554,139.094,34.526,173.62
555,138.822,34.777,173.599
556,138.604,34.511,173.115
557,138.602,34.726,173.328
558,138.32,34.751,173.071
559,137.923,34.91,172.833
560,138.634,34.689,173.323
561,138.456,34.973,173.429
562,138.542,34.947,173.489
563,138.288,34.834,173.122
564,138.423,34.948,173.371
565,138.697,34.931,173.628
566,138.393,35.016,173.409
567,138.595,35.119,173.714
568,138.584,34.873,173.457
569,138.544,34.8,173.344
570,138.445,34.698,173.143
571,138.913,34.748,173.661
572,139.431,34.699,174.13
573,139.588,34.648,174.236
574,139.118,34.94,174.058
575,139.33,34.618,173.948
576,138.908,34.807,173.715
577,138.405,34.705,173.11
578,138.743,34.686,173.429
579,138.912,34.42,173.332
580,139.406,34.923,174.329
581,139.661,34.961,174.622
582,139.689,34.923,174.612
583,139.286,35.016,174.302
584,139.222,34.885,174.107
585,139.485,34.66,174.145
586,138.965,34.749,173.714
587,138.645,34.346,172.991
588,138.462,34.382,172.844
589,138.696,34.563,173.259
590,139.122,34.798,173.92
591,139.058,34.821,173.879
592,139.02,34.795,173.815
593,138.903,34.561,173.464
594,138.828,34.775,173.603
595,139.198,34.868,174.066
596,138.989,34.935,173.924
597,138.597,34.981,173.578
598,138.81,34.961,173.771
599,138.773,34.951,173.724
600,138.652,35.009,173.661
601,138.929,34.857,173.786
602,138.731,34.889,173.62
603,138.913,34.953,173.866
604,139.187,34.942,174.129
605,139.338,35.181,174.519
606,139.179,35.047,174.226
607,138.678,35.025,173.703
608,139.447,35.009,174.456
609,139.246,35.129,174.375
610,139.49,34.756,174.246
611,139.349,34.648,173.997
612,138.81,34.459,173.269
613,139.114,34.833,173.947
614,139.114,34.615,173.729
615,138.762,34.854,173.616
616,138.902,34.734,173.636
617,139.114,34.848,173.962
618,139.57,35.142,174.712
619,139.283,34.992,174.275
620,138.535,34.924,173.459
621,138.556,34.836,173.392
622,138.664,34.768,173.432
623,138.945,34.737,173.682
624,138.549,34.764,173.313
625,138.362,34.883,173.245
626,138.617,34.666,173.283
627,138.776,34.92,173.696
628,138.503,34.731,173.234
629,138.65,34.832,173.482
630,138.446,34.817,173.263
631,138.548,34.897,173.445
632,139.597,34.892,174.489
633,138.967,35.189,174.156
634,138.579,35.022,173.601
635,139.038,34.895,173.933
636,139.408,34.993,174.401
637,139.415,34.778,174.193
638,139.46,34.809,174.269
639,138.986,34.868,173.854
640,138.12,34.874,172.994
641,138.579,34.95,173.529
642,139.143,34.7,173.843
643,138.73,34.917,173.647
644,138.735,34.914,173.649
645,138.76,35.252,174.012
646,138.78,35.063,173.843
647,138.233,35.247,173.48
648,138.899,35.332,174.231
649,138.763,35.54,174.303
650,138.541,35.346,173.887
651,138.25,35.179,173.429
652,138.619,35.121,173.74
653,138.189,35.27,173.459
654,138.025,35.516,173.541
655,138.055,35.798,173.853
656,138.553,35.879,174.432
657,138.841,35.704,174.545
658,138.62,35.463,174.083
659,138.514,35.454,173.968
660,138.255,35.663,173.918
661,138.58,36.014,174.594
662,138.308,35.634,173.942
663,138.15,35.74,173.89
664,138.069,35.937,174.006
665,137.841,35.687,173.528
666,137.681,35.852,173.533
667,137.8,35.825,173.625
668,137.691,35.71,173.401
669,137.391,35.879,173.27
670,137.65,35.895,173.545
671,138.035,35.968,174.003
672,137.964,35.933,173.897
673,138.056,36.027,174.083
674,137.654,36.003,173.657
675,138.075,36.028,174.103
676,138.32,36.116,174.436
677,138.541,36.122,174.663
678,138.295,36.115,174.41
679,137.309,36.139,173.448
680,137.04,36.215,173.255
681,137.087,36.178,173.265
682,137.973,36.107,174.08
683,137.767,36.196,173.963
684,138.261,36.24,174.501
685,138.595,36.307,174.902
686,139.044,36.58,175.624
687,138.623,36.489,175.112
688,138.504,36.422,174.926
689,137.997,36.421,174.418
690,137.836,36.177,174.013
691,137.575,36.188,173.763
692,137.911,36.037,173.948
693,137.748,35.778,173.526
694,137.901,35.854,173.755
695,137.702,36.02,173.722
696,137.411,35.963,173.374
697,136.919,35.894,172.813
698,137.159,35.698,172.857
699,136.811,35.943,172.754
700,136.847,36.098,172.945
701,137.064,36.04,173.104
702,137.327,36.106,173.433
703,136.915,36.009,172.924
704,137.115,35.922,173.037
705,137.256,35.989,173.245
706,137.362,36.399,173.761
707,137.33,36.29,173.62
708,136.943,36.335,173.278
709,137.09,36.245,173.335
710,136.963,36.422,173.385
711,136.847,36.361,173.208
712,137.036,36.213,173.249
713,137.332,36.33,173.662
714,137.263,36.372,173.635
715,137.016,36.349,173.365
716,137.179,36.302,173.481
717,136.95,36.508,173.458
718,137.406,36.475,173.881
719,136.998,36.5,173.498
720,136.86,36.578,173.438
721,137.264,36.537,173.801
722,137.499,36.617,174.116
723,137.302,36.511,173.813
724,137.115,36.744,173.859
725,137.478,36.624,174.102
726,137.113,36.49,173.603
727,137.518,36.554,174.072
728,137.066,36.562,173.628
729,136.973,36.683,173.656
730,137.108,36.999,174.107
731,137.182,36.594,173.776
732,137.55,36.675,174.225
733,136.978,36.631,173.609
734,136.679,36.53,173.209
735,136.721,36.598,173.319
736,136.763,36.716,173.479
737,136.314,36.796,173.11
738,136.309,36.907,173.216
739,136.533,36.721,173.254
740,136.597,37.04,173.637
741,136.807,37.36,174.167
742,136.893,37.008,173.901
743,137.332,37.18,174.512
744,137.734,37.047,174.781
745,137.221,37.025,174.246
746,137.146,37.455,174.601
747,136.577,37.675,174.252
748,137.078,37.676,174.754
749,136.645,37.537,174.182
750,136.535,37.712,174.247
751,136.376,37.559,173.935
752,136.187,37.332,173.519
753,136.865,37.527,174.392
754,136.644,37.568,174.212
755,137.432,37.685,175.117
756,136.958,37.487,174.445
757,135.944,37.868,173.812
758,136.22,37.726,173.946
759,136.578,37.556,174.134
760,136.951,37.367,174.318
761,136.322,37.145,173.467
762,135.867,37.527,173.394
763,135.798,37.703,173.501
764,135.922,37.554,173.476
765,136.207,37.664,173.871
766,136.385,37.936,174.321
767,136.841,37.391,174.232
768,135.984,37.39,173.374
769,135.661,37.233,172.894
770,135.467,37.724,173.191
771,135.745,37.883,173.628
772,136.199,37.833,174.032
773,135.793,37.88,173.673
774,135.936,38.006,173.942
775,136.053,38.077,174.13
776,135.965,37.794,173.759
777,136.099,37.778,173.877
778,135.708,37.917,173.625
779,135.502,37.969,173.471
780,135.452,38.041,173.493
781,135.895,38.141,174.036
782,135.474,38.13,173.604
783,134.859,38.245,173.104
784,134.757,38.422,173.179
785,135.149,38.135,173.284
786,135.047,38.061,173.108
787,135.371,38.305,173.676
788,135.227,38.506,173.733
789,135.165,38.503,173.668
790,135.763,38.656,174.419
791,135.543,38.504,174.047
792,135.566,38.646,174.212
793,135.396,38.524,173.92
794,135.82,38.775,174.595
795,135.887,38.396,174.283
796,136.049,38.08,174.129
797,135.759,38.288,174.047
798,135.664,38.417,174.081
799,135.764,38.156,173.92
800,135.486,38.402,173.888
801,135.546,38.313,173.859
802,136.102,38.278,174.38
803,135.88,38.332,174.212
804,136.074,38.493,174.567
805,136.125,38.359,174.484
806,135.605,38.16,173.765
807,135.909,38.233,174.142
808,135.598,38.509,174.107
809,135.504,38.318,173.822
810,135.79,38.102,173.892
811,135.401,38.156,173.557
812,135.697,38.197,173.894
813,135.794,38.405,174.199
814,135.689,38.442,174.131
815,136.114,38.351,174.465
816,135.941,37.983,173.924
817,135.691,37.943,173.634
818,135.268,37.755,173.023
819,135.324,37.996,173.32
820,135.443,38.199,173.642
821,135.56,38.423,173.983
822,135.627,38.382,174.009
823,135.949,38.262,174.211
824,135.669,38.44,174.109
825,135.639,38.612,174.251
826,135.491,38.463,173.954
827,135.065,38.712,173.777
828,135.683,38.788,174.471
829,135.434,38.752,174.186
830,135.954,38.851,174.805
831,135.663,38.692,174.355
832,134.592,38.699,173.291
833,134.507,38.796,173.303
834,134.04,38.742,172.782
835,134.637,38.92,173.557
836,134.727,38.776,173.503
837,134.804,38.463,173.267
